State,Gun_Law_Rank,Grade,Gun_Death_Rate_Rank,Background_Checks,CCW_Type
Alabama,36,F,4,no,Limited Discretion
Alaska,46,F,1,no,None
Arizona,47,F,15,no,None
Arkansas,37,F,6,no,Limited Discretion
California,1,A-,42,yes,May Issue
Colorado,16,C-,25,yes,Limited Discretion
Connecticut,2,A-,47,yes,May Issue
Delaware,10,B,32,yes,May Issue
Florida,28,F,23,no,No Discretion
Georgia,28,F,20,no,Limited Discretion
Hawaii,7,B+,50,yes,May Issue
Idaho,44,F,14,no,None
Illinois,8,B+,40,yes,Limited Discretion
Indiana,23,D-,18,no,Limited Discretion
Iowa,17,C-,41,yes,Limited Discretion
Kansas,50,F,26,no,None
Kentucky,43,F,17,no,No Discretion
Louisiana,44,F,2,no,No Discretion
Maine,35,F,30,no,None
Maryland,4,A-,36,yes,May Issue
Massachusetts,5,A-,49,yes,May Issue
Michigan,15,C,22,yes,No Discretion
Minnesota,12,C,43,no,Limited Discretion
Mississippi,49,F,3,no,No Discretion
Missouri,41,F,12,no,Limited Discretion
Montana,37,F,5,no,Limited Discretion
Nebraska,21,D,38,yes,No Discretion
Nevada,27,F,16,no,No Discretion
New Hampshire,22,D,44,no,Limited Discretion
New Jersey,3,A-,45,yes,May Issue
New Mexico,33,F,9,no,No Discretion
New York,6,A-,48,yes,May Issue
North Carolina,25,F,21,yes,No Discretion
North Dakota,28,F,24,no,Limited Discretion
Ohio,19,D,29,no,No Discretion
Oklahoma,25,F,8,no,No Discretion
Oregon,14,C,28,yes,Limited Discretion
Pennsylvania,13,C,27,yes,Limited Discretion
Rhode Island,9,B+,46,yes,May Issue
South Carolina,28,F,11,no,No Discretion
South Dakota,40,F,34,no,Limited Discretion
Tennessee,32,F,10,no,No Discretion
Texas,33,F,31,no,No Discretion
Utah,37,F,19,no,Limited Discretion
Vermont,41,F,37,no,None
Virginia,20,D,33,no,Limited Discretion
Washington,11,B-,39,yes,No Discretion
West Virginia,24,D-,13,no,None
Wisconsin,18,D,35,no,No Discretion
Wyoming,48,F,7,no,None
